age,default,housing,loan,contact,month,day_of_week,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,marital_married,marital_single,marital_unknown,job_encoded,education_encoded,poutcome_encoded,was_previously_contacted,true_label,predicted
32,0.0,0.0,0.0,1,7,2,131,5,0,1.4,93.918,-42.7,4.961,5228.1,False,False,False,8.0,6,1,0,0,1
37,0.0,0.0,0.0,1,6,2,100,1,0,-2.9,92.963,-40.8,1.262,5076.2,False,False,True,1.0,6,1,0,0,1
73,0.0,1.0,0.0,1,7,4,131,2,0,-1.7,94.215,-40.3,0.81,4991.6,False,False,False,9.0,5,1,0,0,1
44,0.0,0.0,0.0,0,6,2,48,2,0,1.4,94.465,-41.8,4.961,5228.1,True,False,False,6.0,1,1,0,0,1
28,0.0,0.0,0.0,1,3,5,144,2,0,-1.8,92.843,-50.0,1.531,5099.1,False,True,False,4.0,4,1,0,0,1
45,0.0,0.0,0.0,1,8,5,126,3,0,-2.9,92.201,-31.4,0.869,5076.2,True,False,False,1.0,3,1,0,0,1
58,0.0,0.0,0.0,1,11,5,189,1,0,-0.1,93.2,-42.0,4.021,5195.8,False,False,False,4.0,6,1,0,0,1
46,0.0,0.0,0.0,0,6,2,107,3,0,1.4,94.465,-41.8,4.864,5228.1,True,False,False,4.0,4,1,0,0,1
30,0.0,0.0,0.0,1,8,1,135,1,0,1.4,93.444,-36.1,4.965,5228.1,False,True,False,4.0,6,1,0,0,1
63,0.0,1.0,0.0,1,9,5,156,2,2,-3.4,92.379,-29.8,0.803,5017.5,True,False,False,8.0,-1,0,0,0,1
39,0.0,0.0,0.0,1,7,2,181,1,0,1.4,93.918,-42.7,4.961,5228.1,True,False,False,3.0,3,1,0,0,1
59,0.0,1.0,0.0,1,4,4,66,1,1,-1.8,93.075,-47.1,1.41,5099.1,True,False,False,3.0,3,0,0,0,1
57,0.0,0.0,0.0,0,11,3,5,1,0,-0.1,93.2,-42.0,4.663,5195.8,False,False,False,4.0,6,1,0,0,1
46,0.0,0.0,0.0,0,5,5,43,1,0,1.1,93.994,-36.4,4.864,5191.0,True,False,False,8.0,3,1,0,0,1
35,0.0,0.0,0.0,0,5,5,288,3,0,1.1,93.994,-36.4,4.864,5191.0,True,False,False,3.0,3,1,0,0,1
37,0.0,0.0,0.0,0,5,5,833,8,0,1.1,93.994,-36.4,4.864,5191.0,True,False,False,5.0,4,1,0,0,1
30,0.0,1.0,1.0,0,6,1,82,1,0,1.4,94.465,-41.8,4.865,5228.1,True,False,False,7.0,5,1,0,0,1
38,0.0,1.0,0.0,0,5,2,597,3,0,1.1,93.994,-36.4,4.857,5191.0,False,True,False,1.0,4,1,0,0,1
34,0.0,1.0,0.0,0,5,4,399,5,0,1.1,93.994,-36.4,4.86,5191.0,True,False,False,3.0,3,1,0,0,1
30,0.0,0.0,1.0,0,7,4,156,7,0,1.4,93.918,-42.7,4.963,5228.1,False,True,False,7.0,5,1,0,0,1
55,0.0,1.0,0.0,1,4,1,232,3,0,-1.8,93.075,-47.1,1.466,5099.1,False,False,False,8.0,6,1,0,0,1
34,0.0,1.0,0.0,0,5,1,102,1,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,3.0,1,1,0,0,1
33,0.0,1.0,0.0,0,5,1,110,2,0,1.1,93.994,-36.4,4.857,5191.0,False,False,False,7.0,5,1,0,0,1
44,0.0,0.0,0.0,1,5,2,296,1,0,-1.8,92.893,-46.2,1.291,5099.1,True,False,False,8.0,3,1,0,0,1
43,0.0,1.0,0.0,1,11,1,92,1,0,-0.1,93.2,-42.0,4.191,5195.8,True,False,False,4.0,1,1,0,0,1
34,0.0,1.0,0.0,1,5,1,304,1,0,-1.8,92.893,-46.2,1.264,5099.1,True,False,False,4.0,6,1,0,0,1
41,0.0,1.0,0.0,1,11,1,353,1,0,-0.1,93.2,-42.0,4.191,5195.8,True,False,False,4.0,4,1,0,0,1
48,0.0,0.0,0.0,0,6,5,81,10,0,1.4,94.465,-41.8,4.959,5228.1,True,False,False,3.0,3,1,0,0,1
41,0.0,1.0,1.0,0,5,2,296,1,0,1.1,93.994,-36.4,4.856,5191.0,True,False,False,4.0,3,1,0,0,1
28,0.0,1.0,0.0,1,5,2,387,3,0,-1.8,92.893,-46.2,1.291,5099.1,False,True,False,3.0,2,1,0,0,1
36,0.0,1.0,0.0,0,5,4,81,1,0,1.1,93.994,-36.4,4.855,5191.0,True,False,False,4.0,4,1,0,0,1
30,0.0,1.0,0.0,0,5,1,123,14,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,3.0,3,1,0,0,1
43,0.0,0.0,0.0,0,5,4,177,2,0,1.1,93.994,-36.4,4.855,5191.0,True,False,False,6.0,6,1,0,0,1
50,0.0,0.0,0.0,1,8,3,157,2,0,1.4,93.444,-36.1,4.964,5228.1,True,False,False,3.0,1,1,0,0,1
45,0.0,1.0,0.0,1,8,5,29,10,0,1.4,93.444,-36.1,4.963,5228.1,False,False,False,7.0,5,1,0,0,1
34,0.0,1.0,1.0,1,11,4,116,1,0,-0.1,93.2,-42.0,4.076,5195.8,True,False,False,7.0,4,1,0,0,1
39,0.0,1.0,0.0,1,7,3,68,3,0,1.4,93.918,-42.7,4.963,5228.1,True,False,False,7.0,5,1,0,0,1
33,0.0,0.0,0.0,0,7,3,292,1,0,1.4,93.918,-42.7,4.962,5228.1,True,False,False,3.0,2,1,0,0,1
34,0.0,0.0,0.0,0,6,1,157,29,0,1.4,94.465,-41.8,4.96,5228.1,True,False,False,3.0,3,1,0,0,1
35,0.0,0.0,0.0,1,8,2,253,1,0,1.4,93.444,-36.1,4.966,5228.1,True,False,False,8.0,6,1,0,0,1
43,0.0,1.0,0.0,0,6,3,28,4,0,1.4,94.465,-41.8,4.864,5228.1,True,False,False,3.0,1,1,0,0,1
41,0.0,0.0,1.0,0,5,5,22,2,0,1.1,93.994,-36.4,4.857,5191.0,True,False,False,7.0,5,1,0,0,1
52,0.0,1.0,0.0,0,6,3,219,1,0,1.4,94.465,-41.8,4.959,5228.1,False,False,False,4.0,2,1,0,0,1
46,0.0,1.0,1.0,0,5,1,358,3,0,1.1,93.994,-36.4,4.858,5191.0,True,False,False,4.0,4,1,0,0,1
53,0.0,0.0,0.0,0,11,1,247,1,0,-0.1,93.2,-42.0,4.191,5195.8,False,False,False,6.0,6,1,0,0,1
51,0.0,1.0,0.0,0,5,4,162,2,0,1.1,93.994,-36.4,4.86,5191.0,True,False,False,5.0,3,1,0,0,1
37,0.0,0.0,0.0,0,5,5,327,1,0,1.1,93.994,-36.4,4.864,5191.0,True,False,False,5.0,3,1,0,0,1
39,0.0,0.0,0.0,0,5,2,411,1,0,1.1,93.994,-36.4,4.856,5191.0,False,True,False,4.0,-1,1,0,0,1
39,0.0,1.0,0.0,0,5,2,205,2,0,1.1,93.994,-36.4,4.857,5191.0,False,False,False,8.0,6,1,0,0,1
42,0.0,1.0,0.0,0,6,5,516,5,0,1.4,94.465,-41.8,4.967,5228.1,True,False,False,3.0,3,1,0,0,1
32,0.0,0.0,0.0,1,11,2,464,3,0,-0.1,93.2,-42.0,4.153,5195.8,True,False,False,4.0,4,1,0,0,1
26,0.0,1.0,0.0,1,5,2,191,1,1,-1.8,92.893,-46.2,1.291,5099.1,False,True,False,4.0,3,0,0,0,1
49,0.0,0.0,0.0,0,6,3,112,4,0,1.4,94.465,-41.8,4.864,5228.1,True,False,False,3.0,-1,1,0,0,1
